model,smote,encoding,accuracy,precision,recall,f1,mcc,far,auc,tn,fp,fn,tp
AE+LR,False,train_only,0.7439,0.9114,0.6094,0.7304,0.5417,0.0783,0.8959,8951,760,5013,7820
LDA,False,train_only,0.7618,0.9242,0.6334,0.7517,0.5733,0.0687,0.8601,9044,667,4704,8129
LR,False,train_only,0.734,0.912,0.5897,0.7162,0.5283,0.0752,0.8431,8981,730,5266,7567
NB,False,train_only,0.5121,0.9679,0.1478,0.2565,0.2484,0.0065,0.7944,9648,63,10936,1897
RF,False,train_only,0.7669,0.9666,0.6115,0.7491,0.6021,0.0279,0.9597,9440,271,4985,7848
AE+LR,True,train_only,0.7448,0.9102,0.612,0.7319,0.5422,0.0798,0.8903,8936,775,4979,7854
LDA,True,train_only,0.7639,0.9235,0.638,0.7547,0.576,0.0698,0.8645,9033,678,4645,8188
LR,True,train_only,0.7381,0.9127,0.597,0.7218,0.5342,0.0755,0.8392,8978,733,5172,7661
NB,True,train_only,0.5121,0.9679,0.1478,0.2565,0.2484,0.0065,0.7936,9648,63,10936,1897
RF,True,train_only,0.7766,0.9681,0.6282,0.762,0.6164,0.0274,0.9556,9445,266,4771,8062
